town,CityType,Year,Population,BirthsRate,DeathsRate,Crime_num,Median_household_income,Mill_Rate,HOUSING_PRICE
Glastonbury,LargeTown,2012,34698,0.67,0.74,369,106872,30.05,333000
Glastonbury,LargeTown,2013,34768,0.72,0.71,302,106678,30.5,338000
Glastonbury,LargeTown,2014,34754,0.7,0.73,316,145318,35.1,330000
Glastonbury,LargeTown,2015,34678,0.71,0.87,372,109018,35.65,292500
Goshen,Town,2010,2973,0.5,0.77,17,76705,14.4,250000
Goshen,Town,2011,2957,0.44,0.85,16,83125,15,320000
Goshen,Town,2012,2952,0.68,0.71,15,74333,15,277500
Goshen,Town,2013,2945,0.58,0.71,10,79850,15,275000
Goshen,Town,2014,2914,0.45,1.03,10,87828,19.2,322500
Goshen,Town,2015,2904,0.52,0.86,11,92361,19.2,310000
Granby,Town,2010,11284,0.61,0.66,113,97500,29.46,270000
Granby,Town,2011,11291,0.7,0.73,126,99190,29.79,285000
Granby,Town,2012,11316,0.71,0.77,110,97851,30.1,272151
Granby,Town,2013,11323,0.52,0.67,109,97894,30.69,278000
Granby,Town,2014,11310,0.64,0.84,94,142672,34.83,265000
Granby,Town,2015,11298,0.73,0.75,83,102671,35.52,272500
Greenwich,LargeTown,2010,61274,1.01,0.75,598,124958,8.32,1542500
Greenwich,LargeTown,2011,61782,1.04,0.69,456,127201,8.6,1495000
Greenwich,LargeTown,2012,62256,1.1,0.64,391,129588,10.11,1500000
Greenwich,LargeTown,2013,62396,0.98,0.66,476,132164,10.39,1600000
Greenwich,LargeTown,2014,62610,0.95,0.71,496,262067,10.68,1550000
Greenwich,LargeTown,2015,62695,0.89,0.72,438,128153,10.97,1450000
Griswold,Town,2010,11950,0.99,0.74,120,59295,16.75,148250
Griswold,Town,2011,11925,0.99,0.7,117,66303,18.73,149950
Griswold,Town,2012,11986,0.93,0.68,137,64574,18.73,133800
Griswold,Town,2013,11959,0.98,0.66,133,59387,24.8,152500
Griswold,Town,2014,11916,0.86,0.76,128,78550,26.03,141098
Griswold,Town,2015,11830,0.85,0.74,83,59153,26.08,138700
Groton,LargeTown,2010,40109,1.47,0.58,735,56904,17.95,217500
Groton,LargeTown,2011,40038,1.48,0.7,773,59887,18.42,199900
Groton,LargeTown,2012,39896,1.56,0.67,868,61966,18.89,235000
Groton,LargeTown,2013,40176,1.43,0.69,797,60684,20.22,199000
Groton,LargeTown,2014,40167,1.4,0.73,803,80077,20.72,184000
Groton,LargeTown,2015,39692,1.27,0.71,708,62137,20.13,169400
Guilford,LargeTown,2010,22375,0.68,0.71,455,98411,20.04,377750
Guilford,LargeTown,2011,22340,0.51,0.71,363,95085,20.83,372000
Guilford,LargeTown,2012,22403,0.58,0.71,317,95745,21.52,368000
Guilford,LargeTown,2013,22417,0.54,0.79,258,96151,22.36,380000
Guilford,LargeTown,2014,22413,0.55,0.74,356,132149,23.06,280000
Guilford,LargeTown,2015,22350,0.55,0.8,218,99132,27.42,327500
Haddam,Town,2010,8344,0.8,0.64,60,86179,26.4,263000
Haddam,Town,2011,8364,0.84,0.63,61,87883,27.4,325000
Haddam,Town,2012,8358,0.74,0.63,68,89184,28.23,260000
Haddam,Town,2013,8363,0.75,0.6,34,93824,28.99,266000
Haddam,Town,2014,8333,0.8,0.76,42,114451,29.48,260000
Haddam,Town,2015,8292,0.8,0.82,45,99866,30.39,234000
Hamden,LargeTown,2010,60957,1.02,0.94,894,66695,29.41,214000
Hamden,LargeTown,2011,60868,1.05,1.02,1545,67955,31.16,190000
Hamden,LargeTown,2012,60863,1.01,0.96,1710,68462,34.77,185000
Hamden,LargeTown,2013,61607,0.94,0.91,1671,68794,37.14,195000
Hamden,LargeTown,2014,61422,0.89,0.92,1589,87591,38.94,180000
Hamden,LargeTown,2015,61218,0.92,1.01,1525,70791,39.93,169000
Hampton,Town,2010,1864,0.86,0.64,19,79943,24.85,188000
Hampton,Town,2011,1858,0.7,0.65,8,81307,25.8,156500
Hampton,Town,2012,1869,0.54,0.59,5,75278,24.8,188500
Hampton,Town,2013,1868,0.43,0.43,17,74559,24.8,180000
Hampton,Town,2014,1859,0.81,0.59,6,94056,24.8,234000
Hampton,Town,2015,1849,0.59,0.65,15,76625,29.73,212500
Hartford,City,2010,124789,1.61,0.63,7119,28970,72.79,126000
Hartford,City,2011,124867,1.58,0.66,7141,29107,72.79,121000
Hartford,City,2012,124893,1.58,0.62,6974,28931,71.79,137000
Hartford,City,2013,125017,1.52,0.62,6509,29430,74.29,121000
Hartford,City,2014,124705,1.5,0.63,6660,42759,74.29,121800
Hartford,City,2015,124006,1.48,0.72,6888,30630,74.29,109000
Hartland,Town,2010,2115,0.76,0.38,12,85956,23.25,195000
Hartland,Town,2011,2116,0.66,0.66,7,90278,23.5,222500
Hartland,Town,2012,2132,0.56,0.56,12,91875,23.5,210000
Hartland,Town,2013,2131,0.61,0.56,2,88362,24,187500
Hartland,Town,2014,2129,0.85,0.61,2,102563,24.5,254500
Hartland,Town,2015,2127,0.47,0.61,8,91964,24.5,212000
Harwinton,Town,2010,5638,0.59,0.71,34,85253,23,238000
Harwinton,Town,2011,5608,0.62,0.7,50,85920,23.5,215125
Harwinton,Town,2012,5600,0.61,0.59,41,89429,23.9,217500
Harwinton,Town,2013,5593,0.72,0.88,34,89102,24.6,195000
Harwinton,Town,2014,5531,0.43,0.81,50,120214,24.6,227000
Harwinton,Town,2015,5493,0.64,0.66,30,91875,26.9,222000
Hebron,Town,2010,9690,0.75,0.39,78,108444,28.17,265000
Hebron,Town,2011,9673,0.74,0.48,50,107807,28.94,250000
Hebron,Town,2012,9624,0.64,0.54,60,114286,30.26,273750
Hebron,Town,2013,9588,0.7,0.5,39,111792,33.55,270000
Hebron,Town,2014,9564,0.69,0.51,32,119638,34.7,247500
Hebron,Town,2015,9552,0.57,0.49,25,105104,35.75,265750
Kent,Town,2010,2977,0.6,1.04,28,68481,14.11,386500
Kent,Town,2011,2961,0.44,1.28,41,71736,14.02,315000
Kent,Town,2012,2951,0.85,1.15,39,66641,14.27,315000
Kent,Town,2013,2939,0.51,1.05,26,64038,14.27,272450
Kent,Town,2014,2910,0.62,1.34,5,95315,14.45,296000
Kent,Town,2015,2869,0.45,1.05,13,60714,17.03,236500
Killingly,Town,2010,17374,1.13,0.93,215,53192,18.15,147000
Killingly,Town,2011,17330,1.08,0.91,180,54446,19.1,130500
Killingly,Town,2012,17269,1.12,0.97,209,55598,19.2,144650
Killingly,Town,2013,17233,1.18,0.89,213,57205,19.7,135875
Killingly,Town,2014,17172,1.1,0.94,210,66753,20.7,99400
Killingly,Town,2015,17131,1.08,1.22,155,55764,26.51,136625
Killingworth,Town,2010,6523,0.64,0.64,31,99500,21,281000
Killingworth,Town,2011,6540,0.55,0.75,32,105764,21,260900
Killingworth,Town,2012,6504,0.62,0.57,28,106964,22.77,246250
Killingworth,Town,2013,6490,0.43,0.65,14,112761,24.78,225000
Killingworth,Town,2014,6490,0.48,0.66,26,128462,24.53,332500
Killingworth,Town,2015,6455,0.81,0.76,25,112137,24.53,331166.5
Lebanon,Town,2010,7306,0.83,0.68,64,72431,21.3,219450
Lebanon,Town,2011,7292,0.67,0.74,55,80601,22.1,199900
Lebanon,Town,2012,7326,0.85,0.81,42,81120,22.8,187000
Lebanon,Town,2013,7319,0.67,0.74,40,83651,23.6,199632.5
Lebanon,Town,2014,7309,0.78,0.63,36,100065,23.9,176400
Lebanon,Town,2015,7259,0.7,0.81,43,89375,28.2,175000
Ledyard,Town,2010,15050,1.08,0.43,153,85321,25.65,212250
